"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
421,"07010305602 TAGORE MODERN P/S,SHALIMARBAG0H56-SHALIMAR BAGH Primary with Upper Primary",,,Pvt. Unaided,,Urban Co-Educational,71,48,119,0,,15 15,8
422,07010305903 BAL BHARTI MODEL SCHOOL,059-RANI BAGH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,37,28,65,1,,7 8,8
423,07010305901 J.N.MODERN PUBLIC SCHOOL,059-RANI BAGH Upper Primary only,,Pvt. Unaided,,Urban Co-Educational,43,21,64,0,,4 4,4
424,07010305904 R.N.PUBLIC SCHOOL,059-RANI BAGH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,202,86,288,0,,7 7,11
425,07010305902 ST. MICHEAL ACADEMY,059-RANI BAGH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,89,78,167,0,,8 8,8
426,"07010306011 APEEJAY SCHOOL,SAINIK VIHAR",060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,886,665,1551,5,,57 62,40
427,07010306001 BAL BHARATI PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1679,1326,3005,5,,146 151,80
428,07010306006 CRESCENT PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,126,95,221,2,,13 15,11
429,07010306003 DAV PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1327,1020,2347,16,,80 96,60
430,07010306007 GURU NANAK PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,393,296,689,2,,39 41,24
431,07010306002 HARVARD PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,194,120,314,2,,9 11,10
432,07010306010 JAGANNATH INTERNATIONAL SCHOO0L60-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,164,116,280,0,,15 15,18
433,07010306008 NAV BHARTI PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,142,94,236,2,,8 10,10
434,07010306005 NEW STATE ACADEMY SR.SEC.SCHO0O60L-SARASWATI VIHAURp. Primary with sec./H.sec,,,Pvt. Unaided,,Urban Co-Educational,407,260,667,2,,22 24,24
435,07010306009 ST.PRAYAG PUBLIC SCHOOL,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,160,109,269,0,,9 9,12
436,07010306105 BLOOM ERA PUBLIC SCHOOL,061-TRINAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,277,184,461,2,,14 16,13
437,07010306104 MAHAVIRA INTERNATIONAL SCHOOL061-TRINAGAR,Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,131,91,222,0,,12 12,9
438,07010306101 MOTHER MIRRA SCHOOL,061-TRINAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,71,36,107,0,,10 10,10
439,07010306102 R.M.NAVYUG VIDYA MANDIR,061-TRINAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,100,67,167,0,,9 9,9
440,07010306103 SANT NAMDEV  PUBLIC SCHOOL,061-TRINAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,196,105,301,3,,9 12,9
441,07010306502 D.A.V. PUBLIC SCHOOL,065-NEEMRI COLONYPr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,870,493,1363,8,,57 65,39
442,07010306501 MAHARAJA AGARSEN PUBLIC SCHOO0L65-NEEMRI COLONYPr. with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,1248,805,2053,5,,80 85,63
443,07010306602 MATA JAI KAUR PUBLIC SCHOOL,066-SAWAN PARK Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,891,564,1455,4,,53 57,40
"",School,School,,School,,Location  &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code  & Name: 070103,DOEUNAIDED Total Schools in this block :,,,264,,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,
444,07010306601 SUNRISE CONVENT SCHOOL,066-SAWAN PARK Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,155,78,233,,1,7 8,,8
445,07010306702 ARYA VIDYA MANDIR,067-WAZIRPUR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,173,139,312,,0,16 16,,11
446,07010306703 MATA SHIV DEVI PUBLIC SCHOOL,067-WAZIRPUR Up. Primary with sec./H.sec,,Pvt. Unaided,,Urban Co-Educational,121,41,162,,0,7 7,,18
447,07010306701 TYAGI PUBLIC SCHOOL,067-WAZIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,816,304,1120,,0,51 51,,36
448,07010306804 KULACHI HANSRAJ MODEL SCHOOL 068-ASHOK VIHAR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,2340,1454,3794,,6,177 183,,109
449,07010306805 LIONS PUBLIC SCHOOL,068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,585,336,921,,0,31 31,,30
450,07010306803 LITTLE FAIRY PUBLIC SCHOOL,068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,301,150,451,,1,20 21,,16
451,07010306801 SPRINGDAYS  MODEL  SCHOOL,068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,210,134,344,,2,10 12,,10
452,07010306802 ST. STEPHENS SCHOOL,068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,54,37,91,,1,13 14,,10
453,07010307002 D.V.B(TRANSCO) CO-ED MIDDLE SCH0O7O0-LRANA PRATAP BAPGriHmary with Upper Primary,,,Pvt. Unaided,,Urban Co-Educational,18,9,27,,0,2 2,,4
454,07010307001 GURU HARKRISHAN PUBLIC SCHOOL070-RANA PRATAP BAPGr.H with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,1042,525,1567,,7,85 92,,37
455,07010307101 MAHAVIR SENIOR MODEL SCHOOL,071-SANGAM PARK Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,630,312,942,,5,45 50,,30
456,"07010307204 A.G.D.A.V CET P/S,MODELTOWN,DEL072-MODEL TOWN",Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,672,314,986,,2,34 36,,26
457,"07010307203 DARSHAN ACADEMY ,KRIPAL BAGH",072-MODEL TOWN Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,347,225,572,,3,28 31,,20
458,07010307205 DAYANAND P/S (ARYA SAMAJ),072-MODEL TOWN Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,478,285,763,,1,25 26,,23
459,07010307206 GURU TEGH BAHADUR PUBLIC SCHO0O72L-MODEL TOWN,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,179,82,261,,2,16 18,,12
460,07010307201 MATA R R S D SARASWATI BAL MAND0I7R2-MODEL TOWN,Upper Primary only,,Pvt. Unaided,,Urban Co-Educational,42,18,60,,1,3 4,,6
461,"07010307202 QUEEN MARY'S SCHOOL, NORTH END072-MODEL TOWN",Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Girls only,0,1834,1834,,4,58 62,,47
462,07010307208 SANATAN DHARAM PUBLIC SCHOOL 072-MODEL TOWN,Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,159,79,238,,0,11 11,,9
463,07010307207 THE SRIJAN SCHOOL,072-MODEL TOWN Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,663,420,1083,,8,68 76,,40
464,07010310001 GURU ANGAD PUBLIC SCHOOL,100-KARAM PURA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,291,123,414,,1,19 20,,18
"",Cluster Code & Name:,0701030001 DEFAULT,,,,,,,,,,,,
465,07010300204 DEFFODIL PUBLIC SCHOOL,002-BANKNER Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,244,107,351,,2,11 13,,14
466,07010300311 HAZARI LAL PUBLIC SCHOOL,003-ALIPUR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,186,104,290,,1,11 12,,8
467,07010300312 RISHIKUL VIDYAPEETH,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,286,132,418,,5,12 17,,16
468,07010300313 SANT GYANESHWAR MODEL SCHOO0L03-ALIPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,138,100,238,,3,12 15,,10
469,"07010300314 SUKRITI WORLD SCHOOL, KHERA KH0U0R3-DALIPUR",Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,157,91,248,,2,13 15,,8
470,07010301808 P.M. PUBLIC SCHOOL,018-LIBASPUR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,160,82,242,,2,9 11,,8
471,07010302113 DELHI INTERNATIONAL PUBLIC SCHO0O21L-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,528,360,888,,0,29 29,,24
472,07010302114 GLORIOUS PUBLIC SCHOOL,021-ROHINI Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,129,111,240,,1,9 10,,8
473,07010302312 CHANDER BHAN MEMORIAL PUBLIC S0C23H-OBUODLH VIHAR,Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,441,149,590,,1,18 19,,20
474,"07010302313 LAUREL C/S RITHALA RD, BUDH VIHA0R23-BUDH VIHAR",Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,159,132,291,,3,10 13,,10
"",School,,School,School,,,Location  &,,Enrolment,,,Teachers,Class
"",Village NameCode School Name,,Category,Management,,,Type of School,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,Female Total,
"",Block Code & Name: 070103,DOEUNAIDED,Total Schools in this block :,,,264,,,,,,,
"",Cluster Code  & Name:,0701030001 DEFAULT,,,,,,,,,,,
475,07010302509 THE HERITAGE SCH PLT NO8 SEC23 025-POOTH KALA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,708,501,1209,16,104 120,47
476,07010302606 G.D. GOENKA PUBLIC SCHOOL,026-SAHIBABAD DAULPArT. wPiUthR Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,665,423,1088,5,60 65,38
477,07010302710 INDRAPRASTHA PUBLIC SCHOOL,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Rural Co-Educational,183,118,301,6,9 15,10
478,07010302711 M.R. PUBLIC SCHOOL,027-BEGUMPUR Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,230,160,390,1,12 13,17
479,07010302709 S.D.G PUB SCH D-BLK BEGAMPUR,027-BEGUMPUR Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,113,79,192,4,3 7,8
480,"07010302712 VANI MODEL SCH, BEGUMPUR",027-BEGUMPUR Primary with Upper Primary,,Pvt. Unaided,,,Rural Co-Educational,169,133,302,5,5 10,8
481,07010302811 DAV PUBLIC SCHOOL,028-BAWANA Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,110,66,176,0,10 10,8
482,"07010302812 MARIGOLD PUBLIC SCHOOL, KATEWA02R8A-BAWANA",Primary with Upper Primary,,Pvt. Unaided,,,Rural Co-Educational,189,98,287,8,12 20,10
483,"07010302914 SIDHHARTHA P/S, TATESAR EXTN.",029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Rural Co-Educational,153,92,245,5,10 15,8
484,07010303302 JEEVAN PUBLIC SEC. SCHOOL,033-PRATAP VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Rural Co-Educational,207,175,382,1,10 11,10
485,07010303601 PARKASH BHARTI PUBLIC SCHOOL,036-PREM NAGAR Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,189,95,284,5,7 12,8
486,07010304905 ROSEWOOD PUBLIC SCHOOL,049-ROHINI NORTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,90,51,141,1,10 11,11
487,07010305103 TECNIA INTERNATIONAL SCHOOL,051-ROHINI EAST Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,115,71,186,2,14 16,18
488,07010305415 M.M. PUBLIC SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,219,122,341,3,14 17,15
489,07010306806 PRESIDIUM SCHOOL,068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Urban Co-Educational,965,655,1620,6,64 70,50
490,"07010307210 DELHI POLICE P/S, NEW POLICE LINE072-MODEL TOWN",Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,165,122,287,0,8 8,6
491,07010307209 ST. MARGARET SCHOOL,072-MODEL TOWN Primary with Upper Primary,,Pvt. Unaided,,,Urban Co-Educational,370,191,561,4,24 28,16
"",Block Code  & Name: 070104,MCD,Total Schools in this block :,,,443,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,
492,07010400105 DESU COLONY,001-NARELA Primary,,Local body,,,Urban Co-Educational,137,138,275,2,5 7,6
493,07010400107 KURENI,001-NARELA Primary,,Local body,,,Urban Co-Educational,303,272,575,0,14 14,12
494,07010400109 NARELA COLONY -I,001-NARELA Primary,,Local body,,,Urban Girls only,0,236,236,0,7 7,5
495,07010400108 NARELA COLONY -II,001-NARELA Primary,,Local body,,,Urban Boys only,206,0,206,3,2 5,5
496,07010400113 NARELA MANDI I-I,001-NARELA Primary,,Local body,,,Urban Girls only,0,506,506,0,17 17,13
497,07010400112 NARELA MANDI I-II,001-NARELA Primary,,Local body,,,Urban Boys only,474,0,474,3,9 12,11
498,07010400111 NARELA MANDI II-I,001-NARELA Primary,,Local body,,,Urban Girls only,0,257,257,0,7 7,7
499,07010400110 NARELA MANDI II-II,001-NARELA Primary,,Local body,,,Urban Boys only,192,0,192,5,0 5,11
500,07010400101 NARELA SEC. A-5 POCKET-2,001-NARELA Primary,,Local body,,,Urban Co-Educational,382,327,709,6,14 20,15
501,07010400103 NARELA SEC. A-6 POCKET -II-II,001-NARELA Primary,,Local body,,,Urban Boys only,591,0,591,9,3 12,12
502,07010400102 NARELA SEC. A-6 POCKET-5,001-NARELA Primary,,Local body,,,Urban Co-Educational,564,516,1080,6,19 25,23
503,07010400104 NARELA SEC. A-6 POCKET-II-I,001-NARELA Primary,,Local body,,,Urban Girls only,0,532,532,4,12 16,9
504,07010400119 PANA COLONY-I,001-NARELA Primary,,Local body,,,Urban Girls only,0,733,733,0,22 22,17
"",School,,,School,School,,Location &,,Enrolment,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
505,07010400118 PANA COLONY-II,001-NARELA,Primary,,Local body,,Urban Boys only,651,0,651,12,5 17,16
506,07010400115 PANA MANUR PUR -I,001-NARELA,Primary,,Local body,,Urban Girls only,0,343,343,0,13 13,10
507,07010400114 PANA MANUR PUR -II,001-NARELA,Primary,,Local body,,Urban Boys only,294,0,294,7,0 7,12
508,07010400117 PANA PAPOSIYAN -I,001-NARELA,Primary,,Local body,,Urban Girls only,0,298,298,0,9 9,20
509,07010400116 PANA PAPOSIYAN -II,001-NARELA,Primary,,Local body,,Urban Boys only,260,0,260,4,3 7,5
510,07010400106 SINGHOLA,001-NARELA,Primary,,Local body,,Rural Co-Educational,94,83,177,2,4 6,5
511,07010400207 BANKNER BOYS,002-BANKNER,Primary,,Local body,,Urban Boys only,625,0,625,6,12 18,16
512,07010400206 BANKNER GIRLS,002-BANKNER,Primary,,Local body,,Urban Girls only,0,561,561,0,18 18,15
513,07010400204 BHORGARH -I,002-BANKNER,Primary,,Local body,,Urban Girls only,0,391,391,0,10 10,9
514,07010400203 BHORGARH -II,002-BANKNER,Primary,,Local body,,Urban Boys only,467,0,467,6,6 12,13
515,07010400202 GHOGA,002-BANKNER,Primary,,Local body,,Rural Co-Educational,76,79,155,3,3 6,5
516,07010400205 LAMPUR,002-BANKNER,Primary,,Local body,,Rural Co-Educational,118,121,239,4,4 8,7
517,07010400201 NARELA SECTOR A-10 POCKET -7,002-BANKNER,Primary,,Local body,,Urban Co-Educational,322,257,579,2,12 14,9
518,07010400209 SWATANTRA NAGAR -I,002-BANKNER,Primary,,Local body,,Urban Girls only,0,483,483,0,15 15,12
519,07010400208 SWATANTRA NAGAR -II,002-BANKNER,Primary,,Local body,,Urban Boys only,536,0,536,6,7 13,14
520,07010400322 ALIPUR BOYS,003-ALIPUR,Primary,,Local body,,Rural Boys only,534,0,534,10,7 17,17
521,07010400321 ALIPUR GIRLS,003-ALIPUR,Primary,,Local body,,Urban Girls only,0,519,519,0,13 13,13
522,07010400319 BUDH PUR,003-ALIPUR,Primary,,Local body,,Rural Co-Educational,280,244,524,5,9 14,12
523,07010400320 GARHI ALIPUR,003-ALIPUR,Primary,,Local body,,Urban Co-Educational,396,269,665,2,14 16,15
524,07010400312 HOLAMBI KALAN,003-ALIPUR,Primary,,Local body,,Urban Co-Educational,373,330,703,3,14 17,15
525,07010400302 HOLAMBI KALAN PH-2 BLOCK C SITE 003-ALIPUR,,Primary,,Local body,,Rural Co-Educational,252,182,434,9,2 11,11
526,07010400303 HOLAMBI KALAN PH-2 BLOCK C SITE 003-ALIPUR,,Primary,,Local body,,Urban Co-Educational,215,178,393,7,4 11,10
527,07010400305 HOLAMBI KALAN PHASE-2 BLOCK A-,003-ALIPUR,Primary,,Local body,,Rural Girls only,0,683,683,0,16 16,10
528,07010400301 HOLAMBI KALAN PHASE-2 BLOCK A-,003-ALIPUR,Primary,,Local body,,Rural Boys only,670,0,670,16,0 16,10
529,07010400304 HOLAMBI KALAN PHASE-2 BLOCK -B,003-ALIPUR,Primary,,Local body,,Rural Co-Educational,439,374,813,16,2 18,11
530,07010400313 HOLAMBI KHURD GIRLS,003-ALIPUR,Primary,,Local body,,Rural Girls only,0,195,195,0,5 5,5
531,07010400314 HOLMABI KHURD BOYS,003-ALIPUR,Primary,,Local body,,Rural Boys only,194,0,194,1,4 5,5
532,07010400318 KHERA KALAN BOYS,003-ALIPUR,Primary,,Local body,,Rural Boys only,383,0,383,8,3 11,10
533,07010400317 KHERA KALAN GIRLS,003-ALIPUR,Primary,,Local body,,Rural Co-Educational,0,360,360,0,14 14,9
534,07010400316 KHERA KHURD,003-ALIPUR,Primary,,Local body,,Rural Co-Educational,102,93,195,3,2 5,5
535,"07010400311 METRO VIHAR PKT.-A, HOLAMBI KALA0N03-ALIPUR",,Primary,,Local body,,Urban Co-Educational,256,226,482,8,2 10,5
536,"07010400310 METRO VIHAR PKT.-B, HOLAMBI KALA0N03-ALIPUR",,Primary,,Local body,,Urban Co-Educational,405,284,689,11,9 20,16
"",School,,,School,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,
537,"07010400309 METRO VIHAR PKT.-C, HOLAMBI KALA0N03-ALIPUR",Primary,,,Local body,,Urban Co-Educational,353,301,654,5,,9 14,10
538,07010400315 NAYA BANS,003-ALIPUR Primary,,,Local body,,Rural Co-Educational,54,52,106,3,,0 3,5
539,07010400307 SANNOTH BOYS,003-ALIPUR Primary,,,Local body,,Rural Boys only,200,0,200,5,,0 5,5
540,07010400306 SANNOTH GIRLS,003-ALIPUR Primary,,,Local body,,Rural Girls only,0,175,175,0,,6 6,5
541,07010400308 SHAHPUR GARHI,003-ALIPUR Primary,,,Local body,,Urban Co-Educational,185,163,348,6,,2 8,5
542,07010400414 AKBAR PUR MAJRA,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,73,84,157,3,,2 5,5
543,07010400419 BAKHTAWAR PUR BOYS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Boys only,357,0,357,4,,4 8,10
544,07010400418 BAKHTAWAR PUR GIRLS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Girls only,0,301,301,1,,8 9,9
545,07010400410 BAKOLI,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,254,238,492,7,,7 14,10
546,07010400417 GARHI BAKHTAWAR PUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,55,40,95,1,,1 2,6
547,07010400409 HAMEED PUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,111,87,198,5,,1 6,5
548,07010400420 HIRANKI KHUSAK,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,54,31,85,1,,2 3,5
549,07010400413 JHINGOLA,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,195,177,372,11,,0 11,10
550,07010400421 JIND PUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,133,121,254,2,,4 6,7
551,07010400408 KHAMPUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,35,65,100,3,,1 4,5
552,"07010400401 NARELA SECTOR B-4, POCKET - 7",004-BAKHTAWARPURPrimary,,,Local body,,Urban Co-Educational,269,242,511,10,,3 13,12
553,07010400412 PALLA BOYS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Boys only,177,0,177,3,,1 4,5
554,07010400411 PALLA GIRLS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,0,175,175,1,,4 5,5
555,07010400405 SINGHU BOYS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Boys only,285,0,285,6,,1 7,5
556,07010400404 SINGHU GIRLS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Girls only,0,326,326,0,,9 9,7
557,07010400415 SUNGER PUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,55,48,103,2,,1 3,5
558,07010400402 SWARN JAYANTI VIHAR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,320,298,618,7,,9 16,15
559,07010400407 TAJ PUR BOYS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Boys only,56,0,56,2,,0 2,5
560,07010400406 TAJ PUR GIRLS,004-BAKHTAWARPURPrimary,,,Local body,,Rural Girls only,0,64,64,0,,3 3,5
561,07010400416 TIGGI PUR,004-BAKHTAWARPURPrimary,,,Local body,,Rural Co-Educational,49,47,96,1,,2 3,5
562,07010400403 TIKRI KHURD,004-BAKHTAWARPURPrimary,,,Local body,,Urban Co-Educational,420,371,791,8,,13 21,17
563,"07010402106 SEC-11C, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,357,295,652,2,,17 19,15
564,"07010402105 SEC-11G, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,338,270,608,1,,17 18,14
565,"07010402102 SEC-16 D-3, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,537,472,1009,2,,26 28,30
566,"07010402103 SEC-16G, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,241,227,468,0,,16 16,14
567,"07010402104 SEC-16J, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,379,292,671,2,,17 19,15
568,"07010402101 SEC-17, ROHINI",021-ROHINI Primary,,,Local body,,Urban Co-Educational,679,519,1198,0,,31 31,19
"",School,,,School,School,,Location &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
569,07010402203 RITHALA I,022-RITHALA Primary,,,Local body,,Urban Girls only,0,,977,977,0,,28 28,22
570,07010402202 RITHALA II,022-RITHALA Primary,,,Local body,,Urban Boys only,799,,0,799,6,,11 17,16
571,"07010402206 SEC-5A, ROHINI",022-RITHALA Primary,,,Local body,,Rural Co-Educational,697,,518,1215,2,,31 33,28
572,"07010402205 SEC-5B I,ROHINI",022-RITHALA Primary,,,Local body,,Urban Co-Educational,545,,412,957,0,,23 23,20
573,"07010402204 SEC-5B II, ROHINI",022-RITHALA Primary,,,Local body,,Urban Boys only,455,,0,455,3,,8 11,10
574,"07010402201 SECTOR-24 II, ROHINI",022-RITHALA Primary,,,Local body,,Urban Boys only,1154,,0,1154,13,,8 21,20
575,07010402302 BUDH VIHAR I,023-BUDH VIHAR Primary,,,Local body,,Urban Girls only,0,,1321,1321,0,,34 34,29
576,07010402301 BUDH VIHAR II,023-BUDH VIHAR Primary,,,Local body,,Urban Boys only,1121,,0,1121,14,,10 24,23
577,07010402508 KRISHNA VIHAR-1,025-POOTH KALA Primary,,,Local body,,Urban Girls only,0,,731,731,2,,19 21,17
578,07010402507 KRISHNA VIHAR-11,025-POOTH KALA Primary,,,Local body,,Urban Boys only,628,,0,628,11,,5 16,21
579,07010402506 POOTH KALAN BOYS,025-POOTH KALA Primary,,,Local body,,Urban Boys only,687,,0,687,16,,1 17,16
580,07010402505 POOTH KALAN GIRLS,025-POOTH KALA Primary,,,Local body,,Urban Girls only,0,,779,779,0,,17 17,15
581,07010402502 SECTOR-20 EXTENSION ROHINI,025-POOTH KALA Primary,,,Local body,,Urban Co-Educational,625,,549,1174,11,,22 33,20
582,07010402504 SECTOR-20 ROHINI(NEW),025-POOTH KALA Primary,,,Local body,,Urban Co-Educational,524,,422,946,15,,11 26,11
583,07010402503 SECTOR-21 ROHINI,025-POOTH KALA Primary,,,Local body,,Urban Co-Educational,873,,843,1716,15,,22 37,29
584,07010402511 SECTOR-23 ROHINI,025-POOTH KALA Primary,,,Local body,,Urban Girls only,0,,1018,1018,1,,26 27,25
585,"07010402510 SECTOR-24 I, ROHINI",025-POOTH KALA Primary,,,Local body,,Urban Girls only,0,,1265,1265,0,,34 34,30
586,07010402501 SECTOR-24 NEW ROHINI,025-POOTH KALA Primary,,,Local body,,Urban Co-Educational,466,,223,689,2,,15 17,12
587,07010402509 SECTOR-25 ROHINI,025-POOTH KALA Primary,,,Local body,,Urban Co-Educational,413,,320,733,3,,17 20,14
588,07010402602 PRAHLAD PUR BOYS,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Rural Boys only,806,,0,806,17,,2 19,17
